Prime: 113, Epochs: 8000

Epoch 0/8000, Loss: 0.306839
Epoch 100/8000, Loss: 0.071670
Epoch 200/8000, Loss: 0.041123
Epoch 300/8000, Loss: 0.020676
Epoch 400/8000, Loss: 0.013550
Epoch 500/8000, Loss: 0.010101
Epoch 600/8000, Loss: 0.008100
Epoch 700/8000, Loss: 0.006858
Epoch 800/8000, Loss: 0.006368
Epoch 900/8000, Loss: 0.005601
Epoch 1000/8000, Loss: 0.004998
Epoch 1100/8000, Loss: 0.004890
Epoch 1200/8000, Loss: 0.004846
Epoch 1300/8000, Loss: 0.004800
Epoch 1400/8000, Loss: 0.004752
Epoch 1500/8000, Loss: 0.004703
Epoch 1600/8000, Loss: 0.004652
Epoch 1700/8000, Loss: 0.004600
Epoch 1800/8000, Loss: 0.004545
Epoch 1900/8000, Loss: 0.004487
Epoch 2000/8000, Loss: 0.004427
Epoch 2100/8000, Loss: 0.004421
Epoch 2200/8000, Loss: 0.004414
Epoch 2300/8000, Loss: 0.004407
Epoch 2400/8000, Loss: 0.004399
Epoch 2500/8000, Loss: 0.004391
Epoch 2600/8000, Loss: 0.004383
Epoch 2700/8000, Loss: 0.004375
Epoch 2800/8000, Loss: 0.004366
Epoch 2900/8000, Loss: 0.004357
Epoch 3000/8000, Loss: 0.004348
Epoch 3100/8000, Loss: 0.004347
Epoch 3200/8000, Loss: 0.004346
Epoch 3300/8000, Loss: 0.004345
Epoch 3400/8000, Loss: 0.004344
Epoch 3500/8000, Loss: 0.004343
Epoch 3600/8000, Loss: 0.004341
Epoch 3700/8000, Loss: 0.004340
Epoch 3800/8000, Loss: 0.004339
Epoch 3900/8000, Loss: 0.004338
Epoch 4000/8000, Loss: 0.004336
Epoch 4100/8000, Loss: 0.004336
Epoch 4200/8000, Loss: 0.004336
Epoch 4300/8000, Loss: 0.004336
Epoch 4400/8000, Loss: 0.004336
Epoch 4500/8000, Loss: 0.004335
Epoch 4600/8000, Loss: 0.004335
Epoch 4700/8000, Loss: 0.004335
Epoch 4800/8000, Loss: 0.004335
Epoch 4900/8000, Loss: 0.004335
Epoch 5000/8000, Loss: 0.004334
Epoch 5100/8000, Loss: 0.004334
Epoch 5200/8000, Loss: 0.004334
Epoch 5300/8000, Loss: 0.004334
Epoch 5400/8000, Loss: 0.004334
Epoch 5500/8000, Loss: 0.004334
Epoch 5600/8000, Loss: 0.004334
Epoch 5700/8000, Loss: 0.004334
Epoch 5800/8000, Loss: 0.004334
