Prime: 113, Epochs: 2000

Epoch 0/2000, Loss: 0.444795
Epoch 100/2000, Loss: 0.071599
Epoch 200/2000, Loss: 0.034487
Epoch 300/2000, Loss: 0.019098
Epoch 400/2000, Loss: 0.013363
Epoch 500/2000, Loss: 0.010406
Epoch 600/2000, Loss: 0.008451
Epoch 700/2000, Loss: 0.006960
Epoch 800/2000, Loss: 0.005931
Epoch 900/2000, Loss: 0.005245
Epoch 1000/2000, Loss: 0.004684
Epoch 1100/2000, Loss: 0.004630
Epoch 1200/2000, Loss: 0.004580
Epoch 1300/2000, Loss: 0.004529
Epoch 1400/2000, Loss: 0.004476
Epoch 1500/2000, Loss: 0.004423
Epoch 1600/2000, Loss: 0.004368
Epoch 1700/2000, Loss: 0.004312
Epoch 1800/2000, Loss: 0.004255
Epoch 1900/2000, Loss: 0.004197
Epoch 1999/2000, Loss: 0.004140

Accuracy: 68.00% (68/100)

Test Results:
Input: (65, 61) | Target: 13 | Predicted: 13
Input: (84, 25) | Target: 109 | Predicted: 105
Input: (92, 12) | Target: 104 | Predicted: 105
Input: (73, 38) | Target: 111 | Predicted: 82
Input: (55, 36) | Target: 91 | Predicted: 92
Input: (7, 14) | Target: 21 | Predicted: 21
Input: (5, 84) | Target: 89 | Predicted: 89
Input: (60, 66) | Target: 13 | Predicted: 13
Input: (39, 81) | Target: 7 | Predicted: 7
Input: (13, 29) | Target: 42 | Predicted: 42
Input: (19, 44) | Target: 63 | Predicted: 63
Input: (92, 71) | Target: 50 | Predicted: 50
Input: (108, 109) | Target: 104 | Predicted: 104
Input: (112, 87) | Target: 86 | Predicted: 86
Input: (7, 44) | Target: 51 | Predicted: 51
Input: (47, 86) | Target: 20 | Predicted: 20
Input: (41, 76) | Target: 4 | Predicted: 5
Input: (58, 33) | Target: 91 | Predicted: 91
Input: (36, 112) | Target: 35 | Predicted: 34
Input: (21, 6) | Target: 27 | Predicted: 27
Input: (97, 10) | Target: 107 | Predicted: 109
Input: (17, 48) | Target: 65 | Predicted: 65
Input: (8, 16) | Target: 24 | Predicted: 24
Input: (49, 10) | Target: 59 | Predicted: 59
Input: (59, 54) | Target: 0 | Predicted: 46
Input: (88, 66) | Target: 41 | Predicted: 41
Input: (75, 55) | Target: 17 | Predicted: 17
Input: (76, 104) | Target: 67 | Predicted: 67
Input: (109, 44) | Target: 40 | Predicted: 40
Input: (10, 55) | Target: 65 | Predicted: 65
Input: (3, 53) | Target: 56 | Predicted: 56
Input: (107, 1) | Target: 108 | Predicted: 107
Input: (107, 78) | Target: 72 | Predicted: 72
Input: (107, 11) | Target: 5 | Predicted: 7
Input: (27, 30) | Target: 57 | Predicted: 57
Input: (81, 98) | Target: 66 | Predicted: 66
Input: (69, 41) | Target: 110 | Predicted: 103
Input: (23, 60) | Target: 83 | Predicted: 83
Input: (94, 43) | Target: 24 | Predicted: 24
Input: (24, 78) | Target: 102 | Predicted: 103
